priority,fit_sl26,agency,location,web,linkedin,angle_sl26,status
2,GOOD 4,Contemporary Productions,"West Hollywood, CA",contemporaryproductions.com,linkedin.com/company/contemporary-productions,Interactive 3D / projection / virtual production for conferences,target
2,GOOD 4,Deutsch LA,"Los Angeles, CA",deutschla.com,linkedin.com/company/deutschla,Overflow/spike capacity for their experiential team,target
2,GOOD 4,Double A Labs,"Santa Monica, CA (HQ Austin)",doublealabs.com,linkedin.com/company/doublealabs,White-label real-time 3D to extend into web-3D and physical,target
2,GOOD 4,Exhibits Studio LLC,"Los Angeles, CA",exhibitsstudio.com,,Real-time 3D engine behind their AR/VR Experience Center exhibits,target
2,GOOD 4,Friend of a Friend Collective,"Maywood, CA",thefriends.studio,linkedin.com/company/the-friends-studio,White-label real-time 3D modules for pop-ups,target
2,GOOD 4,Gizmo Media Inc,"Santa Monica, CA",gizmo.media,linkedin.com/company/gizmolive-llc,White-label interactive 3D product demos/configurators,target
2,GOOD 4,Joe Agency,"Los Angeles, CA",joeagency.com,linkedin.com/company/joe-agency,Immersive/interactive tech layer for music and entertainment activations,target
2,GOOD 4,Mile 9,"Calabasas, CA",mile9agency.com,linkedin.com/company/mile-9,Interactive/immersive execution arm for experiential CPG activations,target
2,GOOD 4,New Moon,"West Hollywood, CA",new-moon.com,linkedin.com/company/new-moon-agency,White-label immersive 3D environments,target
2,GOOD 4,OA Experiential (now Collab),"Los Angeles, CA",collabexperiential.com,,White-label interactive touchpoints for recurring-visit programs,target
2,GOOD 4,OM Digital,"Los Angeles, CA",omdigital.com,linkedin.com/company/omdigitalagency,Real-time/interactive 3D and virtual production for award-show/brand content,target
2,GOOD 4,Say Ok,"Los Angeles, CA",thesayok.com,,Interactive/real-time 3D production arm,target
2,GOOD 4,SG Cartel,"Los Angeles, CA",sgcartel.com,,White-label premium interactive/3D for luxury pop-ups,target
2,GOOD 4,Wonder,"Los Angeles, CA",thewonderevents.com,,White-label immersive projection or interactive installation for conferences,target
